venda_id,user_id,produto_id,quantidade,data_venda,valor_total
1,771,56,4,2025-04-06,3690.64
2,660,96,1,2025-02-02,498.86
3,764,84,1,2025-01-11,72.92
4,955,50,2,2024-12-21,386.02
5,932,75,1,2024-12-09,709.79
6,403,15,1,2025-01-07,190.01
7,346,32,4,2025-01-08,715.28
8,963,28,4,2024-11-26,2076.36
9,511,22,4,2025-04-04,592.4
10,147,17,3,2025-03-21,933.5999999999999
11,148,59,2,2025-01-31,109.56
12,864,90,4,2024-11-09,1909.96
13,711,71,3,2025-04-04,2323.56
14,820,57,3,2024-12-28,292.83
15,489,26,2,2024-12-24,1574.64
16,929,25,2,2024-10-30,923.02
17,936,10,1,2024-12-11,710.99
18,640,45,3,2025-01-24,798.5699999999999
19,551,83,4,2025-03-21,1350.36
20,338,11,2,2024-12-02,60.76
21,872,77,3,2024-11-10,2320.68
22,641,53,4,2024-11-23,3760.4
23,779,72,3,2025-03-07,620.1899999999999
24,988,68,2,2025-03-20,1608.36
25,953,95,1,2025-01-02,773.26
26,473,28,3,2024-12-15,1557.27
27,946,75,4,2025-04-08,2839.16
28,151,65,2,2025-03-22,576.26
29,415,49,1,2024-12-11,551.24
30,990,47,4,2025-03-14,1274.36
31,298,52,4,2025-02-04,3109.52
32,611,88,4,2025-03-11,2564.72
33,263,54,3,2025-03-12,2687.64
34,764,60,2,2025-01-30,664.16
35,144,57,4,2025-02-24,390.44
36,346,47,3,2025-01-24,955.77
37,624,31,2,2024-12-11,1222.94
38,572,46,2,2025-02-09,1331.8
39,881,26,3,2025-04-02,2361.96
40,2,5,3,2025-02-17,493.38
41,897,84,4,2025-03-03,291.68
42,304,52,2,2024-11-11,1554.76
43,254,75,1,2024-12-02,709.79
44,652,54,3,2025-02-11,2687.64
45,453,33,2,2025-03-21,148.8
46,37,50,2,2024-11-13,386.02
47,160,38,4,2025-02-04,426.8
48,9,27,1,2024-11-16,207.68
49,233,98,4,2024-12-07,1733.08
50,99,15,1,2025-03-30,190.01
51,659,96,1,2024-12-15,498.86
52,816,61,3,2024-11-09,1184.3700000000001
53,208,21,2,2025-03-10,1231.46
54,131,46,2,2024-11-22,1331.8
55,404,69,2,2024-11-25,167.62
56,152,6,1,2025-03-14,164.43
57,54,38,2,2025-03-10,213.4
58,120,62,3,2024-11-05,835.92
59,673,86,1,2024-11-14,331.93
60,920,62,1,2024-11-19,278.64
61,628,82,1,2025-01-26,627.07
62,587,78,1,2024-11-29,83.3
63,625,74,3,2025-04-12,2451.93
64,968,46,2,2025-04-15,1331.8
65,420,13,3,2025-04-02,2502.36
66,422,95,2,2025-04-11,1546.52
67,104,94,3,2024-11-09,1696.98
68,852,3,4,2024-11-26,2938.68
69,254,94,4,2025-02-14,2262.64
70,227,6,4,2024-11-07,657.72
71,112,93,4,2025-02-28,3052.72
72,510,8,1,2024-11-27,867.51
73,473,44,1,2025-01-06,910.23
74,99,33,3,2024-11-15,223.20000000000002
75,153,81,3,2024-11-10,2593.41
76,861,75,4,2025-04-15,2839.16
77,914,77,2,2024-12-16,1547.12
78,896,50,4,2024-11-13,772.04
79,878,11,3,2024-12-04,91.14
80,338,95,4,2025-02-07,3093.04
81,706,28,3,2024-11-09,1557.27
82,822,70,4,2025-02-04,3948.08
83,163,41,2,2024-12-20,261.64
84,720,16,4,2025-02-19,766.28
85,957,68,2,2024-10-29,1608.36
86,681,99,2,2025-01-09,70.32
87,996,48,3,2025-02-05,1574.6100000000001
88,161,56,2,2024-12-27,1845.32
89,580,64,1,2025-04-04,363.19
90,801,59,1,2024-10-28,54.78
91,398,90,1,2025-04-07,477.49
92,277,62,3,2025-03-13,835.92
93,816,76,1,2024-12-31,731.72
94,916,11,3,2025-01-06,91.14
95,504,89,3,2024-12-20,2665.02
96,896,18,1,2024-12-25,529.51
97,392,19,2,2025-03-01,875.26
98,135,87,4,2025-01-25,2929.24
99,195,55,3,2024-11-18,1805.7599999999998
100,401,82,1,2025-03-17,627.07
101,640,26,3,2025-02-01,2361.96
102,33,6,2,2025-01-31,328.86
103,688,4,2,2025-01-24,1205.34
104,460,29,1,2025-01-10,596.49
105,955,59,3,2025-03-20,164.34
106,883,98,4,2025-01-18,1733.08
107,470,17,4,2024-12-12,1244.8
108,375,43,3,2024-11-30,132.12
109,22,80,3,2025-03-26,374.13
110,750,66,3,2025-01-31,1641.81
111,670,34,1,2025-02-20,949.4
112,38,8,2,2024-12-24,1735.02
113,230,13,4,2025-03-22,3336.48
114,365,8,1,2025-02-13,867.51
115,563,94,3,2024-12-28,1696.98
116,438,96,3,2025-02-18,1496.58
117,776,100,2,2025-03-17,233.62
118,283,94,3,2025-03-29,1696.98
119,27,65,1,2025-04-10,288.13
120,226,43,1,2025-02-07,44.04
121,277,39,2,2025-01-14,1374.78
122,798,81,1,2024-11-16,864.47
123,609,59,4,2025-01-05,219.12
124,284,84,1,2025-02-18,72.92
125,879,88,1,2025-03-13,641.18
126,960,86,1,2025-01-29,331.93
127,481,93,4,2024-11-26,3052.72
128,453,86,3,2025-02-01,995.79
129,829,44,1,2025-03-05,910.23
130,816,9,2,2025-03-13,1210.2
131,659,37,4,2024-12-16,1246.28
132,516,74,2,2024-12-12,1634.62
133,547,36,1,2024-12-24,810.31
134,192,92,2,2024-12-16,1432.22
135,49,28,1,2025-02-03,519.09
136,512,42,4,2024-12-16,2000.92
137,17,43,2,2025-04-17,88.08
138,172,85,2,2025-03-30,635.74
139,220,88,1,2025-01-12,641.18
140,158,42,1,2024-12-14,500.23
141,477,66,3,2024-12-26,1641.81
142,46,55,1,2025-02-20,601.92
143,373,72,1,2025-02-26,206.73
144,518,48,3,2024-11-24,1574.6100000000001
145,99,91,1,2025-01-22,128.4
146,892,22,1,2025-04-10,148.1
147,745,27,3,2025-04-10,623.04
148,37,93,4,2025-02-09,3052.72
149,280,67,4,2024-12-17,598.04
150,349,13,1,2024-11-21,834.12
151,497,45,1,2024-11-06,266.19
152,302,10,3,2024-11-01,2132.9700000000003
153,181,100,3,2024-12-23,350.43
154,607,9,4,2025-02-08,2420.4
155,99,54,2,2024-12-06,1791.76
156,700,27,1,2025-04-20,207.68
157,993,34,2,2025-03-26,1898.8
158,116,1,2,2025-01-02,761.58
159,191,32,3,2025-03-19,536.46
160,253,89,1,2025-02-14,888.34
161,981,93,1,2025-01-19,763.18
162,928,71,3,2025-01-09,2323.56
163,983,67,2,2025-01-19,299.02
164,161,84,3,2025-04-11,218.76
165,256,20,4,2025-01-10,1193.28
166,323,94,1,2025-04-09,565.66
167,128,35,4,2024-11-28,3863.92
168,18,99,3,2024-11-30,105.47999999999999
169,793,91,1,2025-03-04,128.4
170,735,90,4,2025-01-20,1909.96
171,566,78,4,2024-12-02,333.2
172,570,17,2,2025-02-08,622.4
173,323,18,1,2025-04-04,529.51
