venda_id,user_id,produto_id,quantidade,data_venda,valor_total
1,771,56,4,2026-08-29,3690.64
2,660,96,1,2026-06-27,498.86
3,764,84,1,2026-06-05,72.92
4,955,50,2,2026-05-15,386.02
5,932,75,1,2026-05-03,709.79
6,403,15,1,2026-06-01,190.01
7,346,32,4,2026-06-02,715.28
8,963,28,4,2026-04-20,2076.36
9,511,22,4,2026-08-27,592.4
10,147,17,3,2026-08-13,933.5999999999999
11,148,59,2,2026-06-25,109.56
12,864,90,4,2026-04-03,1909.96
13,711,71,3,2026-08-27,2323.56
14,820,57,3,2026-05-22,292.83
15,489,26,2,2026-05-18,1574.64
16,929,25,2,2026-03-24,923.02
17,936,10,1,2026-05-05,710.99
18,640,45,3,2026-06-18,798.5699999999999
19,551,83,4,2026-08-13,1350.36
20,338,11,2,2026-04-26,60.76
21,872,77,3,2026-04-04,2320.68
22,641,53,4,2026-04-17,3760.4
23,779,72,3,2026-07-30,620.1899999999999
24,988,68,2,2026-08-12,1608.36
25,953,95,1,2026-05-27,773.26
26,473,28,3,2026-05-09,1557.27
27,946,75,4,2026-08-31,2839.16
28,151,65,2,2026-08-14,576.26
29,415,49,1,2026-05-05,551.24
30,990,47,4,2026-08-06,1274.36
31,298,52,4,2026-06-29,3109.52
32,611,88,4,2026-08-03,2564.72
33,263,54,3,2026-08-04,2687.64
34,764,60,2,2026-06-24,664.16
35,144,57,4,2026-07-19,390.44
36,346,47,3,2026-06-18,955.77
37,624,31,2,2026-05-05,1222.94
38,572,46,2,2026-07-04,1331.8
39,881,26,3,2026-08-25,2361.96
40,2,5,3,2026-07-12,493.38
41,897,84,4,2026-07-26,291.68
42,304,52,2,2026-04-05,1554.76
43,254,75,1,2026-04-26,709.79
44,652,54,3,2026-07-06,2687.64
45,453,33,2,2026-08-13,148.8
46,37,50,2,2026-04-07,386.02
47,160,38,4,2026-06-29,426.8
48,9,27,1,2026-04-10,207.68
49,233,98,4,2026-05-01,1733.08
50,99,15,1,2026-08-22,190.01
51,659,96,1,2026-05-09,498.86
52,816,61,3,2026-04-03,1184.3700000000001
53,208,21,2,2026-08-02,1231.46
54,131,46,2,2026-04-16,1331.8
55,404,69,2,2026-04-19,167.62
56,152,6,1,2026-08-06,164.43
57,54,38,2,2026-08-02,213.4
58,120,62,3,2026-03-30,835.92
59,673,86,1,2026-04-08,331.93
60,920,62,1,2026-04-13,278.64
61,628,82,1,2026-06-20,627.07
62,587,78,1,2026-04-23,83.3
63,625,74,3,2026-09-04,2451.93
64,968,46,2,2026-09-07,1331.8
65,420,13,3,2026-08-25,2502.36
66,422,95,2,2026-09-03,1546.52
67,104,94,3,2026-04-03,1696.98
68,852,3,4,2026-04-20,2938.68
69,254,94,4,2026-07-09,2262.64
70,227,6,4,2026-04-01,657.72
71,112,93,4,2026-07-23,3052.72
72,510,8,1,2026-04-21,867.51
73,473,44,1,2026-05-31,910.23
74,99,33,3,2026-04-09,223.20000000000002
75,153,81,3,2026-04-04,2593.41
76,861,75,4,2026-09-07,2839.16
77,914,77,2,2026-05-10,1547.12
78,896,50,4,2026-04-07,772.04
79,878,11,3,2026-04-28,91.14
80,338,95,4,2026-07-02,3093.04
81,706,28,3,2026-04-03,1557.27
82,822,70,4,2026-06-29,3948.08
83,163,41,2,2026-05-14,261.64
84,720,16,4,2026-07-14,766.28
85,957,68,2,2026-03-23,1608.36
